"GKV (G)","2062.959909231312","2026-06-06","1970-08-30","-8.058752184929745","Gorinchem","111.15407978150175","0.05623229998263439","18.06493885537408"
"Tempo","2059.3236588006785","2026-06-06","1970-11-29","65.48920910515949","Alphen aan den Rijn","114.13574410107634","0.05662898485673325","19.76986082753494"
"KIOS (R)","2057.536167268557","2026-06-06","1921-05-08","41.164512294306405","Ruinerwold","108.09110279436159","0.056561545160244135","22.998077765663982"
"Fiks","2055.3306854318907","2026-06-06","1970-08-30","-126.81013515412678","Oegstgeest","108.28460120401826","0.05627809550167918","22.390405470102813"
"Avanti (P)","2051.3293432323753","2026-06-06","1970-08-30","-76.70911922832306","Pijnacker","110.35247081981562","0.056665617674526284","18.817387362536632"
"OVVO","2048.5169154498426","2026-06-06","1970-08-30","62.60209164287312","Maarssen","114.74899935298751","0.056608947592011315","16.736729870844268"
"Oost Arnhem","2047.1446097966573","2026-06-06","1933-10-01","-16.290633320251345","Arnhem","114.12623295754828","0.05544321021737934","20.381657630361026"
"SCO","2044.3496581726295","2026-06-06","1946-05-12","-102.02983753364674","Oldeholtpade","112.18833760423412","0.05568106134347676","18.72198304877828"
"Tilburg","2040.144557419824","2026-06-06","1988-09-03","50.19744690531866","Tilburg","114.3702071704077","0.05684303588720616","19.082631358022642"
"Achilles (H)","2031.2891208466285","2026-06-06","1923-11-04","-36.96809405054728","Den Haag","114.63328712307677","0.05521816065898513","18.273880924906504"
"ONDO (G)","2028.5698608231853","2026-06-06","1970-08-30","98.1346151097639","'s-Gravenzande","114.57825789690229","0.0570122879081172","17.402286328269287"
"Heerenveen","2028.503701658069","2026-06-06","2009-09-05","89.91628645085984","Heerenveen","111.29248779499325","0.056103766302907664","18.18717456111487"
"TOP (A)","2019.5673526691228","2026-06-06","1941-11-30","-48.575538015581515","Arnemuiden","115.11209434118312","0.05637876254781031","15.932678761262327"
"CSL","2019.0395591353395","2026-06-06","1968-12-08","35.27471568976239","Britsum","109.16592575039611","0.057078367144571554","19.717564820098477"
"NKC '51","2014.0951962538816","2026-06-06","1953-09-20","119.61166556783951","Nijverdal","116.07295658012073","0.05708996718150466","20.040971500270736"
"AVO","2010.9526932343708","2026-06-06","2013-09-01","-17.226225585012344","AssenR","112.4397624516929","0.056276680657563125","18.99237126968638"
"Vitesse (Ba)","2009.7636851758855","2026-06-06","1970-08-30","110.56382816133464","Barendrecht","113.32984719669486","0.056421200751768874","19.044160070131433"
"Apeldoorn","2003.2322251558335","2026-06-06","2017-09-03","112.89249643146672","Apeldoorn","115.37640810908381","0.056536077602594194","21.72540667790069"
"Dindoa","2002.6584259395484","2026-06-06","1981-09-06","-17.35472448683231","Ermelo","113.08645091769617","0.057896620189697066","18.471737819184817"
"Oranje Wit (D)","1998.554712243228","2026-06-06","1957-12-22","-14.970937154629837","Dordrecht","120.53792073011354","0.05648763897671596","23.489635798956076"
"Kinderdijk","1992.7990218931268","2026-06-06","1970-08-30","89.31594858132758","Alblasserdam","111.81378855568039","0.05620410796097718","16.829585238441567"
"Albatros","1990.3011625880342","2026-06-06","1970-08-30","-20.060707037382144","Zwijndrecht","113.66331494367697","0.056263920164026926","20.84640765662631"
"Pernix","1985.8793847893467","2026-06-06","1970-03-01","64.04537717753965","Leiden","114.7447087362777","0.05614085576152882","19.412018145193894"
"Wit Blauw","1982.0876883419978","2026-06-06","1930-10-19","-98.15804830268303","Kampen","109.1696333762001","0.05663129695339124","20.790395389028067"
"Ritola","1978.5187008672756","2026-06-06","1969-10-12","-9.986698892040977","Zuidlaren","116.03962537113867","0.05700195064984373","23.259134066358392"
"Drachten","1977.278338146284","2026-06-06","1957-04-28","94.1779915927757","Drachten","113.21570789476694","0.055783479855028704","18.28211396863728"
"Sporting Delta","1973.646399226138","2026-06-06","1999-09-04","-142.0169053697282","Dordrecht","112.32031077495284","0.05609315974056768","16.822014259692377"
"DOT (O)","1968.6899224980991","2026-06-06","1932-09-18","25.276367263671546","Oss","120.30018105152196","0.057023257081927806","23.43919554328094"
"VEO","1960.7907901252659","2026-06-06","1970-08-30","17.660438557355064","Voorburg","115.5490733248899","0.056305778660003726","18.340740067219418"
"Antilopen","1952.9740331713103","2026-06-06","1972-09-02","43.58116793574641","Leusden","117.79557431079269","0.05659163341342724","18.275323935626822"
"Noordenveld","1950.6631544764007","2026-05-30","1976-09-12","-23.334940896354965","Roden","110.67451205756863","0.05719021481997702","20.52162760469128"
"SKF","1949.4062809911807","2026-06-06","1955-11-13","-40.45690973153319","Veenendaal","117.24994442584061","0.05677361274445733","18.57158408745793"
"Fortis","1944.2820741979458","2026-06-06","1998-09-12","-9.548824714904868","Oost-Souburg","111.728049671867","0.05591280165430226","15.801541017125153"
"De Vinken","1944.2513388004459","2026-06-06","1970-12-06","99.93295844568729","Vinkeveen","116.76974068697386","0.056543005980697114","21.22201763772533"
