name,place,lastEventDate,lastMatchDate,firstMatchDate,topRating,lastRating,matches,fate,fateType,fateTeams
"Tietjerk","Tytsjerk","2014-08-30","2014-05-24","1951-05-27",1908.610476664062,1740.4661880670446,1011,"Gefuseerd met DFD tot De Wâlden",fuse_new,"DFD|De Wâlden"
"SVAP '74","Anna Paulowna","2014-08-30","2011-12-17","2005-09-03",1313.6544027011303,1132.5684525493612,90,"Hernoemd naar Kleine Sluis",rename,"Kleine Sluis"
"TDK","Deinum","2014-08-30","2014-05-24","1929-05-12",1779.0805596561936,1737.7148947719884,747,"Hernoemd naar SF Deinum",rename,"SF Deinum"
"Harga","Schiedam","2013-09-07","2013-06-02","1974-09-01",1872.5017662114421,1401.881789800912,667,"Gefuseerd met ODI (S) tot Nexus",fuse_new,"ODI (S)|Nexus"
"ODI (S)","Schiedam","2013-09-07","2013-06-01","1970-08-30",1679.7478462882596,972.0647406453239,331,"Gefuseerd met Harga tot Nexus",fuse_new,"Harga|Nexus"
"Asko","Assen","2013-09-01","2013-06-01","1957-05-05",2167.7233001407594,1858.9614146588563,1347,"Gefuseerd met VDW-OLS tot AVO",fuse_new,"VDW-OLS|AVO"
"VDW-OLS","Assen","2013-09-01","2013-06-02","1998-09-05",2040.8408279165294,1700.7189708063415,393,"Gefuseerd met Asko tot AVO",fuse_new,"Asko|AVO"
"Dow","Eastermar","2013-09-01","2012-01-22","1944-05-07",1788.8926569791802,1015.0473303684429,960,"Opgegaan in Wez Handich",merge_into,"Wez Handich"
"ODA","Roderwolde","2013-06-03","2013-06-02","1947-10-19",1836.7417101363096,1006.3195515706452,968,"Gestopt",end,""
"Sportclub","Makkinga","2013-06-02","2013-06-01","1937-04-25",1900.1615609230435,1151.1982586148035,937,"Gestopt",end,""
"VIOS (Ni)","Nijeholtpade","2013-06-01","2013-05-31","1925-06-28",1869.1315499267735,1359.2497578847244,948,"Gestopt",end,""
"Onder Ons","Oosterbeek","2013-03-18","2013-03-17","1911-10-15",2016.2977957317871,947.9891424572654,1106,"Gestopt",end,""
"De Eibers","Eibergen","2013-01-21","2013-01-20","1983-09-25",1225.7943111534507,1225.784531857202,162,"Gestopt",end,""
"Aladna","Aalten","2012-12-09","2012-02-12","1983-10-09",1116.8676622398234,972.9874430330175,28,"Gefuseerd met De Issel tot Aladna / De Issel",fuse_new,"De Issel|Aladna / De Issel"
"De Issel","Ulft","2012-12-09","2012-02-12","1971-11-07",1295.3962264847755,527.5194302625814,29,"Gefuseerd met Aladna tot Aladna / De Issel",fuse_new,"Aladna|Aladna / De Issel"
"SKV (W)","Wageningen","2012-09-01","2012-06-02","1970-09-13",1540.805309585907,1491.708541949845,266,"Gefuseerd met VADA en SSS tot Wageningen",fuse_new,"VADA|SSS|Wageningen"
"SSS","Wageningen","2012-09-01","2012-06-02","1970-08-30",2024.6401324921046,1696.4356262797733,913,"Gefuseerd met VADA en SKV (W) tot Wageningen",fuse_new,"VADA|SKV (W)|Wageningen"
"VADA","Wageningen","2012-09-01","2012-06-03","1930-09-14",2309.250134350167,2144.3006696962007,1140,"Gefuseerd met SSS en SKV (W) tot Wageningen",fuse_new,"SSS|SKV (W)|Wageningen"
"WIK (E)","Enschede","2012-06-03","2012-06-02","1921-10-23",1807.7980276422354,1137.6152546606925,498,"Gestopt",end,""
"Altius","Hilversum","2012-02-26","2012-02-25","1933-06-25",2011.4445026518404,992.5413416557615,1244,"Gestopt",end,""
"Wertha","Weert","2012-01-16","2012-01-15","1980-10-12",1149.0874370415581,811.652887834457,122,"Gestopt",end,""
"De Rietvogels (G)","Gasteren","2011-12-19","2011-12-18","1963-04-21",1253.523211140277,763.4038729075116,415,"Gestopt",end,""
"KCN","Amsterdam","2011-11-12","1995-10-28","1923-11-04",1993.09330909832,1238.3847006904546,1174,"Opgegaan in Vlug en Vaardig (A)",merge_into,"Vlug en Vaardig (A)"
"Halen","Hooghalen","2011-09-25","2011-05-22","1949-05-29",1645.9090368893915,1113.8828898131676,797,"Hernoemd naar HHCombi",rename,"HHCombi"
"Ny Libben","Rinsumageest","2011-09-10","2011-06-04","1949-05-15",1921.6613313398987,1260.0778857741996,850,"Gefuseerd met Quick (B) tot NQL",fuse_new,"Quick (B)|NQL"
"Quick (B)","Burdaard","2011-09-10","1986-12-07","1968-12-08",1359.3524155572995,908.0933650271087,352,"Gefuseerd met Ny Libben tot NQL",fuse_new,"Ny Libben|NQL"
"Bolnes","Bolnes","2011-09-03","2011-06-04","1932-10-02",1921.6010653081007,1426.210669752134,975,"Gefuseerd met Sagitta tot KCR",fuse_new,"Sagitta|KCR"
"Sagitta","Ridderkerk","2011-09-03","2011-06-04","1970-08-30",1790.9824107355316,1650.1526261597287,793,"Gefuseerd met Bolnes tot KCR",fuse_new,"Bolnes|KCR"
"Hoekse","Hoek van Holland","2011-06-06","2011-06-05","1970-11-29",1564.4452874997444,1344.9196009790749,396,"Gestopt",end,""
"Olympiek","Den Haag","2011-06-06","2011-06-05","1993-09-05",1675.5556561294961,952.3362913147896,205,"Gestopt",end,""
"Korulos","Scheemda","2011-05-23","2011-05-22","1941-06-29",1777.139669482134,1071.9634695015307,999,"Gestopt",end,""
"Marknesse","Marknesse","2010-09-25","2010-09-18","1952-11-09",1566.8727302730997,1182.3456314110406,532,"Opgegaan in Emmeloord",merge_into,"Emmeloord"
"Heerlen","Heerlen","2010-06-07","2010-06-06","1979-10-21",1670.6404536611337,910.0734338448265,276,"Gestopt",end,""
"Sirene","Uden","2010-03-01","2010-02-28","1971-11-28",1767.8988976184796,1214.1865703441301,339,"Gestopt",end,""
"Argento","Schoonhoven","2010-02-14","2010-02-13","1982-09-05",1503.973206796848,1338.6292429257596,6,"Gestopt",end,""
"Vanonta","Rozenburg","2010-02-14","2010-02-13","1980-09-07",1232.1199831503488,702.9439406890918,11,"Gestopt",end,""
"Ruinen","Ruinen","2009-09-07","2009-09-06","1961-06-04",1568.816056399404,799.4491710474593,455,"Gestopt",end,""
"Hoger Op","Krommenie","2009-09-06","2009-06-07","1966-09-11",1854.8350704335794,1156.1801031724829,672,"Gefuseerd met Kieviten tot Furore",fuse_new,"Kieviten|Furore"
"Kieviten","Wormerveer","2009-09-06","2009-06-07","1979-09-09",1535.7365933497654,1283.9074148464595,165,"Gefuseerd met Hoger Op tot Furore",fuse_new,"Hoger Op|Furore"
"Heemskerk","Heemskerk","2009-09-06","2008-06-07","1973-12-02",1492.4396707469057,881.2403031309331,200,"Gefuseerd met Watervliet tot HBC (Be)",fuse_new,"Watervliet|HBC (Be)"
"Watervliet","Beverwijk","2009-09-06","2009-05-17","1935-09-22",2027.6120850748273,1074.6662049322067,1019,"Gefuseerd met Heemskerk tot HBC (Be)",fuse_new,"Heemskerk|HBC (Be)"
"Danaiden","Leiden","2009-09-06","2009-06-17","1950-04-23",2293.145536385675,1591.6645423093435,1343,"Gefuseerd met KZ Leiden tot KZ Danaiden",fuse_new,"KZ Leiden|KZ Danaiden"
"KZ Leiden","Leiden","2009-09-06","2009-06-20","1992-09-06",1686.6704737705275,1670.7135467860692,374,"Gefuseerd met Danaiden tot KZ Danaiden",fuse_new,"Danaiden|KZ Danaiden"
"Eerbeek","Eerbeek","2009-09-06","2009-06-06","1966-09-18",1574.2447260532822,903.9548111557539,342,"Gefuseerd met Turbulas tot Melynas",fuse_new,"Turbulas|Melynas"
"Turbulas","Brummen","2009-09-06","2009-06-07","1983-09-18",1452.9062483554567,906.705751971124,207,"Gefuseerd met Eerbeek tot Melynas",fuse_new,"Eerbeek|Melynas"
"Wez Fluch","Hempens","2009-09-06","2008-06-08","1927-05-01",1872.3440392012121,1118.0955748192016,902,"Gefuseerd met Wez Warber tot Wez Warber en Fluch",fuse_new,"Wez Warber|Wez Warber en Fluch"
"Wez Warber","Goutum","2009-09-06","2009-06-07","1957-05-12",1657.0423006333654,1375.5450059028778,785,"Gefuseerd met Wez Fluch tot Wez Warber en Fluch",fuse_new,"Wez Fluch|Wez Warber en Fluch"
"Blauw Wit (H)","Heerenveen","2009-09-05","2009-06-07","1931-05-03",2173.4112985618417,1773.0233156976012,1368,"Gefuseerd met Driehoek tot Heerenveen",fuse_new,"Driehoek|Heerenveen"
"Driehoek","Katlijk","2009-09-05","2009-06-06","1959-05-31",2075.3460700794294,1549.4944808238536,972,"Gefuseerd met Blauw Wit (H) tot Heerenveen",fuse_new,"Blauw Wit (H)|Heerenveen"
"Waterland","Landsmeer","2009-06-08","2009-06-07","1966-09-11",1816.603526750124,1320.2766958584702,615,"Gestopt",end,""
"Ouderkerk","Ouderkerk aan den Amstel","2009-06-07","2009-06-06","2005-09-10",1305.666736244708,1042.3316794558439,105,"Gestopt",end,""
"Sparta (W)","Warten","2009-06-06","2009-05-30","1929-05-12",2183.3213602141136,1492.4399508815106,1232,"Opgegaan in Mid Fryslân",merge_into,"Mid Fryslân"
"ZSV","Zeelberg","2009-03-30","2009-03-29","2006-09-10",1161.7123675865212,1161.6959734798804,18,"Gestopt",end,""
"SVMM","Maarn","2009-03-22","2009-03-21","1952-09-21",1580.4000155333688,887.8053027734944,255,"Gestopt",end,""
"Mares","Maarheze","2008-10-06","2008-10-05","1981-12-06",1080.848799432319,975.2651703566987,66,"Gestopt",end,""
"Nieuw Flora","Haarlem","2008-09-07","2008-06-08","1936-09-20",1901.8675083890564,960.7223463397369,1075,"Opgegaan in Haarlem",merge_into,"Haarlem"
"Argo","Bedum","2008-09-06","2008-06-07","1970-09-13",1517.1339526198171,1036.547979479642,550,"Gefuseerd met DWA tot DWA / Argo",fuse_new,"DWA|DWA / Argo"
"DWA","Winsum","2008-09-06","2008-06-07","1970-08-30",1985.4011774380672,1498.9147888927653,768,"Gefuseerd met Argo tot DWA / Argo",fuse_new,"Argo|DWA / Argo"
"Friso (L)","Leeuwarden","2008-09-06","2008-06-07","1917-09-16",2027.9506984052266,1625.130681280166,1326,"Gefuseerd met Rapiditas (L) tot Pallas '08",fuse_new,"Rapiditas (L)|Pallas '08"
"Rapiditas (L)","Leeuwarden","2008-09-06","2008-06-07","1968-12-08",1279.2725309772425,1140.106508142414,374,"Gefuseerd met Friso (L) tot Pallas '08",fuse_new,"Friso (L)|Pallas '08"
"Actief (R)","Rotterdam","2008-06-09","2008-06-08","1943-10-03",1849.8207679228426,1139.4377271732333,842,"Gestopt",end,""
"RKC²","Rotterdam","2008-06-09","2008-06-08","1997-09-06",1671.0437281196762,1145.500438782132,160,"Gestopt",end,""
"Lauwers","Warfstermolen","2008-03-30","2008-03-29","1960-06-19",1309.0681087193002,1027.3606806445864,378,"Gestopt",end,""
"Hoogerop","Hoogerheide","2008-01-20","2008-01-19","2007-11-17",1212.6903388512028,1118.276871952229,2,"Gestopt",end,""
"SKNWK","Nieuwerkerk","2008-01-20","2008-01-19","1961-01-15",1663.1419572732232,1108.3751856471981,259,"Gestopt",end,""
"KVO (S)","Soest","2007-10-14","2007-10-13","1954-10-17",1667.0926073953788,1050.1390014196668,354,"Gestopt",end,""
