	Advendo (TI)	DOS '46	2	5
	SIOS (W)	Leonidas²	6	1
	ZKC '19	Odival	3	4
1961-11-19	Swift	Westerkwartier	5	8
	SVK	Blauw Wit	5	4
	Rohda (A)	DOS (E)	13	2
	RODA (W)	LUTO	3	2
	AW	Archipel	5	5
	Ons Eibernest	Deetos	7	5
	Spangen	Die Haghe	3	3
	Vicus Orientis	ZKC (Zu)	5	7
	HKV	Zuiden (R)	4	6
	Regenboog	Deto	7	5
	Olympia (B)	DTV	5	4
	SAMOS	DED	7	7
	ZKC '31	BEP	5	11
	Hespa	Amsterdam Zuid	6	3
	Oosterkwartier (H)	MEO	7	5
	Nieuw Flora	Wittenburg	2	3
	Altius	Victoria (A)	6	6
	Amersfoort	Landlust	2	8
	Aurora	ZKV (Za)	7	5
	Haarlem	KCN	5	5
	Zaandam Zuid	Fortuna (A)	6	4
	BIKO	Excelsior	4	3
	OBZB	De Tovers	7	9
	SKV (U)	OKV	4	3
	Oosterpark	Zwaluwen (H)	4	6
	Sport Vereent	Oosthoek	5	4
	Fluks	Zwervers	3	3
	Rozenburg	Quick (D)	2	6
	Merwede (D)	Charlois	4	4
	Eureka	OSCR	6	7
	Actief (R)	Olympiaan	5	4
	Ons Huis (R)	Swift (M)	5	8
	LDO	Sparta (W)	4	2
	Vitesse (Be)	Hermes (G)	6	3
	De Hoeve	Friso (L)	6	6
	NKC (No)	OWK	4	4
	Dio	WWMD	3	5
	Kinea (K)	Forward	2	4
	VIOS (Ni)	KIOS (R)	4	4
	SCO	Samen Een	5	5
	Leeuwarden	Drachten	3	4
	OKO	Luxia	5	3
	Rapiditas	Naas²	10	1
	Onder Ons	SOS	8	6
	Groen Zwart	AKC (Al)	3	2
	Amicitia (V)	HKC (He)	2	8
	Wit Blauw	Steeds Hooger	3	7
	EKCA	ONI (A)	10	8
	Organon	OEC	2	3
	RWB	Eindhoven	4	7
	Odilo	Rust Roest (E)	3	3
	Oranje Wit (T)	DHJ	10	1
	ALO	Tjoba	7	7
	Spartaan	DKC (De)	3	5
	Morskwartier	GKV	3	8
	Danaiden	Schiedam	10	2
	Unicum	Trekvogels (R)	0	4
	USV	Morgenstond	3	6
	TOV (D)	Pams	8	5
	KNS	WION	12	5
	Raven	Achilles (H)	3	3
	Succes	HPV	2	3
	UNA (L)	ODA	11	3
	Zunobri²	Noord Oosten	2	1
	Advendo (TI)	MKC (Me)	3	1
	SIOS (W)	ZKC '19	11	4
	Halen	Odival	4	5
	Moedig Voorwaarts	Leonidas²	5	2
	Altijd Kwiek	Wez Warber	4	4
1961-11-26	Rohda (A)	Westerkwartier	5	4
	Archipel	DOS (E)	8	2
	WK	LUTO	4	4
	Regenboog	Die Haghe	2	4
	Rigtersbleek	Spangen	4	4
	Zuiden (R)	Vicus Orientis	3	1
	HKV	Deetos	8	5
	ZKC (Zu)	Deto	5	6
	BEP	Olympia (B)	9	0
	DTV	Groen Geel	3	6
	DDV	SAMOS	4	3
	DED	KZ	7	5
	Vogel	Hespa	2	4
	Oosterkwartier (H)	Amsterdam Zuid	8	1
	Nieuw Flora	KVD	6	7
	Wittenburg	MEO	3	4
	Haarlem	ZKV (Za)	8	2
	KCN	Aurora	7	4
	DVD²	Altius	3	3
	Fortuna (A)	Zwaluwen (H)	2	7
	Animo Ready	OKV	8	4
	Oosthoek	BIKO	2	6
	SKV (U)	Zaandam Zuid	6	2
	Oosterpark	OBZB	5	9
	De Tovers	Excelsior	6	4
	Fluks	ODO²	6	1
	Ons Huis (R)	Olympiaan	10	1
	Swift (M)	Actief (R)	6	3
	HKC (He)	VADA	9	3
	AKC (Al)	Onder Ons	7	4
	SOS	Rapiditas	2	3
	Hellas	Wit Blauw	4	1
	ONI (A)	Noviomagum	11	2
	't Overschotje	EKCA	3	4
