2023-09-16,IFC '25,Drachten,15,25
2023-09-16,KIOS (R),Juventa,24,18
2023-09-16,NRC '22,DOS Kampen,16,12
2023-09-16,KVZ,Tweemaal Zes,18,11
2023-09-16,Tiel '72,Noviomagum,10,15
2023-09-16,Animo (G),Viking,26,18
2023-09-16,Woudenberg,ACKC,28,16
2023-09-16,KIOS (N),KVZ '23,14,23
2023-09-16,Vriendenschaar (B),Weidevogels,16,20
2023-09-16,Achilles (H),HKV / Ons Eibernest,27,4
2023-09-16,Maassluis,ALO,16,10
2023-09-16,Oranje Wit (D),RWA,19,13
2023-09-16,Vitesse (Ba),Erasmus,20,14
2023-09-16,Merwede,Kinderdijk,12,14
2023-09-16,KCR,Albatros,17,12
2023-09-16,ROG,Quick '21 / Vlug en Vaardig (G),13,17
2023-09-16,WSS,Hoogkerk,16,15
2023-09-16,De Wâlden,KVW '22,10,12
2023-09-16,Noordenveld,Kinea / Udiros,21,12
2023-09-16,ASVD,Thrianta,17,12
2023-09-16,Oranje Zwart,Rood Wit (W),20,12
2023-09-16,Amicitia (V),Apeldoorn,19,12
2023-09-16,Devinco,DOS-WK,8,12
2023-09-16,Elburg,Exakwa,14,21
2023-09-16,Sparta (N),Telstar,15,18
2023-09-16,DOT (O),Victum,10,11
2023-09-16,Rust Roest (E),Nova,17,16
2023-09-16,VZOD,De Vinken,12,20
2023-09-16,RODA (W),Atlantis,16,21
2023-09-16,Badhoevedorp,Furore,14,14
2023-09-16,Apollo,Swift,16,18
2023-09-16,DES (De),Refleks,13,17
2023-09-16,Phoenix (Z),Sporting Trigon,20,14
2023-09-16,Twist,ODO (M),8,9
2023-09-16,Korbis,IJsselvogels,20,21
2023-09-16,Vriendenschaar (H),DVS '69,22,18
2023-09-16,Movado,Korbatjo,19,15
2023-09-16,Atlas,Tjoba,13,22
2023-09-16,Fortis,Juliana,15,10
2023-09-16,DTL,DTS (S),14,8
2023-09-16,It Fean,De Granaet,17,12
2023-09-16,Club Brothers,HHV,13,23
2023-09-16,VDDO,De Parabool,8,15
2023-09-16,Joure,Hellas '63,17,16
2023-09-16,Oerterp,WWC,11,15
2023-09-16,Blauw Zwart,Achilles (A),16,12
2023-09-16,Zwart Wit,HKC (He),7,15
2023-09-16,KCD,Fortissimo,16,13
2023-09-16,Rheko,Zwaluwen (Ze),9,13
2023-09-16,HKC (U),DWS (K),17,9
2023-09-16,Luno,Fiducia,10,12
2023-09-16,SDO (V),Duko,18,12
2023-09-16,PSV,Reehorst '45,16,17
2023-09-16,Sporting West,Haarlem,6,14
2023-09-16,Rapid (H),KZ Danaiden,9,9
2023-09-16,Dunas,DSO (A),12,15
2023-09-16,Oosterkwartier (H),DKV Victoria,23,9
2023-09-16,NIO,ADO,14,10
2023-09-16,Nexus,OZC,21,17
2023-09-16,WION,Keep Fit '70,10,7
2023-09-16,Reeuwijk,Trekvogels (R),18,13
2023-09-16,Zaamslag,Seolto,16,20
2023-09-16,Blauw Wit (K),TOGO (G),8,13
2023-09-16,Olympia (T),DWA / Argo,16,10
2023-09-16,Lintjo,Elko,18,17
2023-09-16,SIOS / Leonidas,Sparta (Ze),11,21
2023-09-16,De Hoeve,Spannum,13,21
2023-09-16,Pallas '08,De Pein,15,16
2023-09-16,Leeuwarden,Emmeloord,15,15
2023-09-16,Regio '72,Olympia '22,15,10
2023-09-16,SDO (W),AKC (Al),11,18
2023-09-16,Keizer Karel,EKCA,13,13
2023-09-16,Arena,Kesteren,18,7
2023-09-16,RDZ,Revival,14,19
2023-09-16,VIKO,Koveni,13,21
2023-09-16,Huizen,EKVA,12,15
2023-09-16,Aurora,Wolderwijd,12,17
2023-09-16,DTS (E),HBC (Be),14,11
2023-09-16,OKV,Helios,15,15
2023-09-16,GKV,Fluks (N),19,11
2023-09-16,Dijkvogels,Madjoe,13,7
2023-09-16,Thor (R),'t Capproen,21,6
2023-09-16,Gemini,Ventura Sport,12,10
2023-09-16,Luctor,Good Luck,11,13
2023-09-16,DSO (K),KVK,21,14
2023-09-16,Attila,NKV,13,13
2023-09-16,Ready '60,DKB,17,13
2023-09-16,NKC (No),SDO (S),13,27
2023-09-16,Noveas,Zunobri,21,14
2023-09-16,Vitesse (Be),Roreko,6,5
2023-09-16,WIK '34,MN en W,15,10
2023-09-16,DTG,Harich,11,16
2023-09-16,Westergo,De Waterpoort,14,10
2023-09-16,Vakgericht,KIOS '45,10,10
2023-09-16,TOP (V),Ons Clubje,13,11
2023-09-16,SkunK,SEV (Z),16,11
2023-09-16,Rivalen,Wesstar,13,7
2023-09-16,Hebbes,SGV,20,16
