	ZKV (Za)	KVKV	1	5
1924-03-30	DTV	Ready (A)	4	1
	Nausikaa	Excelsior	3	4
	OSCR	Fluks	1	5
	Deetos	Rozenburg	3	1
	HSV	Vitesse (Leiden)	3	3
	DDV	Westerkwartier	3	5
	Haarlem	KVO	1	1
	TOV (D)	Velox	1	6
	DWS	GHBSC	3	3
	Noviomagum	PSV	4	2
	Quick (Arn)	Be Quick	1	0
	AKC (Al)	DOS (E)	1	9
	Rapiditas	HKC (He)	3	6
	DOK	WIK (E)	2	6
	TOGO (A)	Quick (A)	4	1
	Excelsior (A)	Velox (A)	1	4
	Amstelodamum	KCN	4	1
	Sloten	ASV	1	0
1924-04-06	DTV	Nausikaa	3	4
	Hercules	Ready (A)	2	2
	Fluks	HKV	5	2
	OSCR	HSV	2	2
	Rozenburg	Deetos	0	2
	Dordrecht	Vitesse (Leiden)	5	0
	Haarlem	DDV	3	2
	Swift	Westerkwartier	1	0
	Tekca	KVO	0	2
	Velox	Vitesse (Haag)	9	2
	Helder	Oosterpark	0	10
	BEP	LUTO	2	6
	OSCA	DVD²	0	7
	Animo	Zwaluwen (H)	2	7
	Voorwaarts (L)	Gorkum	0	4
	Be Quick	EKCA	1	2
	DOS (E)	AKC (Al)	14	1
	Naas²	Rapiditas	3	4
	HKC (He)	DOVA	2	1
	Unitas (D)	Zwart Wit	3	2
	Zwaluwen (A)	SSS (A)	1	1
	Onder Ons	Oliveo	9	2
	Blauw Wit (Z)	Mercedes	2	1
	Blauw Wit (Z)	NIVO	11	1
	Wilhelmina²	Mercedes	0	3
	Wilhelmina²	KDO (Ap)	6	2
	KDO (Ap)	Wilhelmina²	5	7
	TOGO (A)	Zuiden	1	2
1924-04-13	DEV	Excelsior	4	2
	Hercules	Advendo	5	4
	Vitesse (Leiden)	OSCR	6	0
	Rozenburg	Fluks	3	5
	Swift	DDV	1	3
	Tekca	Haarlem	1	1
	KVO	KZ	1	12
	HSC (Hi)	AW	4	6
	Achilles (A)	Unitas (D)	3	1
	Zuiden	Zwaluwen (A)	3	2
1924-04-19	Fluks	HSV	11	1
	Dordrecht	Deetos	2	1
	Blauw Wit	Amstelodamum	2	0
1924-04-21	Fluks	Deetos	1	3
1924-04-27	Hercules	Excelsior	6	4
