1920-08-01 UNA (L),-107.0,10.0
1920-08-08 Rapide,29.75,10.0
1920-08-08 UDI (H),76.0,10.0
1920-08-08 WKC (DW),-71.0,10.0
1920-08-22 WTK,-623.25,10.0
1920-08-29 OLS,-50.0,10.0
1920-09-05 MIA (M),40.25,10.0
1920-09-05 OKK (R),-106.25,10.0
1920-09-05 SSS (V),-48.0,10.0
1920-09-05 VOP (M),18.75,10.0
1920-09-12 UDI (N),16.0,10.0
1920-09-19 ASV,35.75,10.0
1920-09-19 Amstelodamum,40.0,10.0
1920-09-19 Die Haghe,175.0,10.0
1920-09-19 Holver,-130.25,10.0
1920-09-19 SDO (A),-15.25,10.0
1920-09-19 SVO,-23.25,10.0
1920-09-19 TOGO (A),-68.75,10.0
1920-09-19 Victoria (A),55.5,10.0
1920-09-19 ZKV (Za),-174.5,10.0
1920-09-26 AJC,74.5,10.0
1920-10-03 Amstel,-158.75,10.0
1920-10-10 WKC (We),7.0,10.0
1920-10-17 HBS (H),-15.75,10.0
1920-10-24 Be Quick (EC),-133.5,10.0
1920-10-24 DOSO (NA),-48.0,10.0
1920-10-24 DOV,-41.0,10.0
1920-10-24 GESH,-276.0,10.0
1920-10-24 STA,-306.25,10.0
1920-10-24 TOG (ND),-145.75,10.0
1920-10-24 VIOS (Oo),-197.5,10.0
1920-10-24 VOMOS (S),22.5,10.0
1920-10-24 WIK (K),-36.0,10.0
1920-10-31 Incasso Bank,-134.75,10.0
1920-10-31 KDC,-368.5,10.0
1920-10-31 Vitesse (A),-39.0,10.0
1920-11-07 Aldy,-495.75,10.0
1920-11-07 Emma,354.0,10.0
1920-11-07 KVR²,215.25,10.0
1920-11-07 Ons Huis,-133.25,10.0
1920-11-07 Robaver,-170.0,10.0
1920-11-07 Taseno,271.75,10.0
1921-03-13 OKC (Ob),-339.75,10.0
1921-03-20 Wit Zwart,36.5,10.0
1921-03-27 OKV,-167.0,10.0
1921-03-27 Sparta (F),-411.5,10.0
1921-03-27 VIOS (Ki),-284.5,10.0
1921-03-27 VKC (Vr),-69.5,10.0
1921-03-27 Velocitas (S),144.0,10.0
1921-04-03 Blauw Wit (D),127.0,10.0
1921-04-03 Fluks (Z),140.0,10.0
1921-04-03 Olympia (F),-527.0,10.0
1921-04-03 Ons Huis (M),-47.5,10.0
1921-04-10 DOS (Ho),-228.75,10.0
1921-04-10 OKC (Oo),-519.75,10.0
1921-04-10 OKK (Z),150.75,10.0
1921-04-10 ZKC '19,-65.0,10.0
1921-04-17 Alcides²,131.25,10.0
1921-04-17 DOL,-48.25,10.0
1921-04-17 DOS (Ni),-124.25,10.0
1921-04-17 GIOS,165.25,10.0
1921-04-17 Hercules (A),47.75,10.0
1921-04-17 TOGIDO,46.75,10.0
1921-04-24 HE,-249.0,10.0
1921-04-24 Nic,-271.5,10.0
1921-04-24 Quick (M),-123.25,10.0
1921-04-24 Vitesse (E),55.25,10.0
1921-04-24 Vogel,-351.0,10.0
1921-05-08 Hermes (B),-19.0,10.0
1921-05-08 KIOS (R),-146.0,10.0
1921-05-08 MKC (Ma),-106.75,10.0
1921-05-08 VIOS (Dre),-413.5,10.0
1921-05-08 WWMD,36.5,10.0
1921-05-22 Bato,-383.0,10.0
1921-05-22 Concordia,-491.5,10.0
1921-05-22 DGV,-142.75,10.0
1921-05-22 SSS (S),-256.5,10.0
1921-05-22 WSS (ND),228.0,10.0
1921-05-22 ZAC,272.0,10.0
1921-05-29 Forward,120.5,10.0
1921-05-29 TOG (N),-296.25,10.0
1921-06-05 AFLM,-60.75,10.0
1921-06-05 Leonidas²,255.0,10.0
1921-06-05 OKC (Ol),-36.5,10.0
1921-06-05 SCS,583.5,10.0
1921-06-05 SH,-132.75,10.0
1921-06-12 HDT,-48.0,10.0
1921-06-12 SIM,95.5,10.0
1921-06-12 UDI (S),-43.5,10.0
1921-06-19 Excelsior (V),-152.0,10.0
1921-06-19 VDB,-6.0,10.0
1921-07-10 VOC,365.5,10.0
1921-07-17 KW,6.0,10.0
1921-07-17 TOGIDO (D),36.0,10.0
1921-07-24 ODA (B),-76.0,10.0
1921-07-31 IJKC,-36.0,10.0
1921-08-14 Vitesse (V),-7.0,10.0
1921-09-11 DIO (B),-10.0,10.0
1921-09-11 ELTO,70.5,10.0
1921-09-18 BKC (E),-163.5,10.0
1921-09-18 NHM (R),-126.0,10.0
1921-09-18 Utrecht,-134.5,10.0
1921-09-25 HBS (A),-44.75,10.0
1921-09-25 HSC (Hi),-333.25,10.0
